model,condition,n,accuracy,cost_usd,wall_seconds
google/gemini-3.1-pro-preview-20260219,no_tools,140,0.45,24.0943,3090.45
google/gemini-3.1-pro-preview-20260219,tools,140,0.6357,21.1596,2796.63
