model,condition,n,accuracy,cost_usd,wall_seconds
qwen/qwen3.6-plus-04-02,no_tools,266,0.7406,11.2895,15111.46
qwen/qwen3.6-plus-04-02,tools,266,0.8158,2.2002,3357.66
