model,condition,n,accuracy,cost_usd,wall_seconds
moonshotai/kimi-k2.6-20260420,no_tools,140,0.2786,16.3871,19835.04
moonshotai/kimi-k2.6-20260420,tools,140,0.5143,10.4655,14884.17
