model,condition,n,accuracy,cost_usd,wall_seconds
google/gemini-3.1-pro-preview-20260219,no_tools,109,0.633,14.0169,3180.81
google/gemini-3.1-pro-preview-20260219,tools,109,0.8624,17.176,3036.1
