model,condition,n,accuracy,cost_usd,wall_seconds
deepseek/deepseek-v4-pro-20260423,no_tools,109,0.4771,9.0026,12157.37
deepseek/deepseek-v4-pro-20260423,tools,109,0.4312,6.7309,5223.72
