model,condition,n,accuracy,cost_usd,wall_seconds
deepseek/deepseek-v4-pro-20260423,no_tools,266,0.7519,7.2824,12132.41
deepseek/deepseek-v4-pro-20260423,tools,266,0.6692,7.9486,11129.4
