model,condition,n,accuracy,cost_usd,wall_seconds
deepseek/deepseek-v4-pro-20260423,no_tools,140,0.3071,10.373,15199.03
deepseek/deepseek-v4-pro-20260423,tools,140,0.35,9.2945,6502.66
