model,condition,n,accuracy,cost_usd,wall_seconds
moonshotai/kimi-k2.6-20260420,no_tools,266,0.7707,8.9217,12321.2
moonshotai/kimi-k2.6-20260420,tools,266,0.8233,4.6208,8141.12
