model,condition,n,accuracy,cost_usd,wall_seconds
anthropic/claude-4.6-sonnet-20260217,no_tools,109,0.211,8.069,1885.47
anthropic/claude-4.6-sonnet-20260217,tools,109,0.8532,19.9975,1783.04
