model,condition,n,accuracy,cost_usd,wall_seconds
google/gemini-3.1-flash-lite-preview-20260303,no_tools,140,0.1571,0.723,1332.76
google/gemini-3.1-flash-lite-preview-20260303,tools,140,0.4071,2.5786,1620.43
