model,condition,n,accuracy,cost_usd,wall_seconds
qwen/qwen3.6-plus-04-02,no_tools,109,0.5321,11.4815,14395.12
qwen/qwen3.6-plus-04-02,tools,109,0.8257,3.8236,4100.23
