model,condition,n,accuracy,cost_usd,wall_seconds
anthropic/claude-4.6-sonnet-20260217,no_tools,140,0.1714,9.5248,1987.64
anthropic/claude-4.6-sonnet-20260217,tools,140,0.6143,29.7162,2706.72
