model,condition,n,accuracy,cost_usd,wall_seconds
qwen/qwen3.6-plus-04-02,no_tools,140,0.4143,16.4317,21589.69
qwen/qwen3.6-plus-04-02,tools,140,0.5357,4.0725,5094.6
