model,condition,n,accuracy,cost_usd,wall_seconds
moonshotai/kimi-k2.6-20260420,no_tools,109,0.4128,11.3673,14579.65
moonshotai/kimi-k2.6-20260420,tools,109,0.6972,8.3513,12783.46
