model,condition,n,accuracy,cost_usd,wall_seconds
deepseek/deepseek-v4-flash-20260423,no_tools,109,0.4128,0.6906,1289.98
deepseek/deepseek-v4-flash-20260423,tools,109,0.3486,0.3543,4318.62
