model,condition,n,accuracy,cost_usd,wall_seconds
google/gemini-3.1-flash-lite-preview-20260303,no_tools,109,0.3578,0.3973,2217.5
google/gemini-3.1-flash-lite-preview-20260303,tools,109,0.8624,1.8881,2582.81
