model,condition,n,accuracy,cost_usd,wall_seconds
google/gemini-3.1-flash-lite-preview-20260303,no_tools,266,0.6579,0.7361,571.01
google/gemini-3.1-flash-lite-preview-20260303,tools,266,0.8233,1.3088,723.68
