model,condition,n,accuracy,cost_usd,wall_seconds
anthropic/claude-4.6-sonnet-20260217,no_tools,266,0.6805,7.3335,923.28
anthropic/claude-4.6-sonnet-20260217,tools,266,0.5789,19.9214,1388.9
