model,condition,n,accuracy,cost_usd,wall_seconds
google/gemini-3.1-pro-preview-20260219,no_tools,266,0.7857,15.6304,2098.22
google/gemini-3.1-pro-preview-20260219,tools,266,0.8534,13.7911,2014.12
